Dataset	Queryset	ChgQRatio	Method	Time	AvgMem	PeakMem	#Out	#OutQ	paramKey
FC	FC_Q100	0.2	MDUAL	504.81	12.0	16.0	85	368	gaussian(2)
gaussian(2)
STK	STK_Q100	0.2	SOP	5471.37	88.0	106.0	11	135	gaussian(4)
STK	STK_Q100	0.2	pMCSKY	4090.19	29.0	28.0	11	135	gaussian(4)
STK	STK_Q100	0.2	MDUAL	13.76	3.0	8.0	11	135	gaussian(4)
GAS	GAS_Q100	0.2	SOP	19182.16	151.0	165.0	0	0	gaussian(4)
GAS	GAS_Q100	0.2	pMCSKY	17394.04	91.0	92.0	0	0	gaussian(4)
GAS	GAS_Q100	0.2	MDUAL	169.54	6.0	13.0	0	0	gaussian(4)
EM	EM_Q100	0.2	SOP	24583.56	218.0	235.0	0	0	gaussian(4)
EM	EM_Q100	0.2	pMCSKY	23599.91	135.0	132.0	0	0	gaussian(4)
EM	EM_Q100	0.2	MDUAL	1751.37	10.0	16.0	0	0	gaussian(4)
TAO	TAO_Q100	0.2	SOP	11447.55	124.0	143.0	50	808	gaussian(4)
TAO	TAO_Q100	0.2	pMCSKY	9884.64	64.0	67.0	50	808	gaussian(4)
TAO	TAO_Q100	0.2	MDUAL	33.68	3.0	8.0	50	808	gaussian(4)
HPC	HPC_Q100	0.2	SOP	3720.53	84.0	93.0	41	115	gaussian(4)
HPC	HPC_Q100	0.2	pMCSKY	1807.96	23.0	26.0	41	115	gaussian(4)
HPC	HPC_Q100	0.2	MDUAL	61.82	5.0	10.0	41	115	gaussian(4)
FC	FC_Q100	0.2	SOP	11446.80	125.0	129.0	26	28	gaussian(4)
FC	FC_Q100	0.2	pMCSKY	10768.32	69.0	71.0	26	28	gaussian(4)
FC	FC_Q100	0.2	MDUAL	1190.25	16.0	20.0	26	28	gaussian(4)
gaussian(4)
STK	STK_Q100	0.2	SOP	6632.10	99.0	102.0	9	156	gaussian(4)
STK	STK_Q100	0.2	pMCSKY	3643.47	26.0	29.0	9	156	gaussian(4)
STK	STK_Q100	0.2	MDUAL	3.91	3.0	7.0	9	156	gaussian(4)
GAS	GAS_Q100	0.2	SOP	13700.73	116.0	161.0	0	0	gaussian(4)
GAS	GAS_Q100	0.2	pMCSKY	13338.48	67.0	68.0	0	0	gaussian(4)
GAS	GAS_Q100	0.2	MDUAL	62.23	6.0	9.0	0	0	gaussian(4)
EM	EM_Q100	0.2	SOP	27350.59	232.0	275.0	0	0	gaussian(4)
EM	EM_Q100	0.2	pMCSKY	26012.56	143.0	139.0	0	0	gaussian(4)
EM	EM_Q100	0.2	MDUAL	1218.89	7.0	15.0	0	0	gaussian(4)
TAO	TAO_Q100	0.2	SOP	9433.12	117.0	144.0	60	626	gaussian(4)
TAO	TAO_Q100	0.2	pMCSKY	8020.34	46.0	49.0	60	626	gaussian(4)
TAO	TAO_Q100	0.2	MDUAL	29.57	3.0	11.0	60	626	gaussian(4)
HPC	HPC_Q100	0.2	SOP	4420.31	89.0	93.0	46	397	gaussian(4)
HPC	HPC_Q100	0.2	pMCSKY	1746.69	23.0	28.0	46	397	gaussian(4)
HPC	HPC_Q100	0.2	MDUAL	119.51	5.0	11.0	46	397	gaussian(4)
FC	FC_Q100	0.2	SOP	7162.22	98.0	113.0	4	5	gaussian(4)
FC	FC_Q100	0.2	pMCSKY	5268.26	32.0	33.0	4	5	gaussian(4)
FC	FC_Q100	0.2	MDUAL	425.90	14.0	18.0	4	5	gaussian(4)
gaussian(4)
STK	STK_Q100	0.2	SOP	7784.43	94.0	98.0	14	205	gaussian(4)
STK	STK_Q100	0.2	pMCSKY	5509.20	37.0	41.0	14	205	gaussian(4)
STK	STK_Q100	0.2	MDUAL	5.47	3.0	7.0	14	205	gaussian(4)
GAS	GAS_Q100	0.2	SOP	19255.67	154.0	162.0	0	0	gaussian(4)
GAS	GAS_Q100	0.2	pMCSKY	18914.00	95.0	95.0	0	0	gaussian(4)
GAS	GAS_Q100	0.2	MDUAL	155.82	9.0	13.0	0	0	gaussian(4)
EM	EM_Q100	0.2	SOP	29362.45	245.0	267.0	0	0	gaussian(4)
EM	EM_Q100	0.2	pMCSKY	27865.00	166.0	163.0	0	0	gaussian(4)
EM	EM_Q100	0.2	MDUAL	1648.32	10.0	13.0	0	0	gaussian(4)
TAO	TAO_Q100	0.2	SOP	6273.34	108.0	140.0	46	380	gaussian(4)
TAO	TAO_Q100	0.2	pMCSKY	5445.61	41.0	46.0	46	380	gaussian(4)
TAO	TAO_Q100	0.2	MDUAL	22.32	3.0	10.0	46	380	gaussian(4)
HPC	HPC_Q100	0.2	SOP	3016.74	78.0	88.0	53	286	gaussian(4)
HPC	HPC_Q100	0.2	pMCSKY	1649.85	20.0	25.0	53	286	gaussian(4)
HPC	HPC_Q100	0.2	MDUAL	82.63	5.0	10.0	53	286	gaussian(4)
FC	FC_Q100	0.2	SOP	7350.78	92.0	100.0	7	8	gaussian(4)
FC	FC_Q100	0.2	pMCSKY	5937.98	36.0	38.0	7	8	gaussian(4)
FC	FC_Q100	0.2	MDUAL	530.65	14.0	20.0	7	8	gaussian(4)
gaussian(4)
STK	STK_Q100	0.2	SOP	9272.88	105.0	113.0	31	326	gaussian(4)
STK	STK_Q100	0.2	pMCSKY	6549.02	37.0	41.0	31	326	gaussian(4)
STK	STK_Q100	0.2	MDUAL	8.07	3.0	8.0	31	326	gaussian(4)
GAS	GAS_Q100	0.2	SOP	22403.63	228.0	232.0	0	0	gaussian(4)
GAS	GAS_Q100	0.2	pMCSKY	21470.04	164.0	165.0	0	0	gaussian(4)
GAS	GAS_Q100	0.2	MDUAL	125.63	10.0	14.0	0	0	gaussian(4)
EM	EM_Q100	0.2	SOP	23330.37	210.0	224.0	0	0	gaussian(4)
EM	EM_Q100	0.2	pMCSKY	22410.63	124.0	121.0	0	0	gaussian(4)
EM	EM_Q100	0.2	MDUAL	933.81	10.0	13.0	0	0	gaussian(4)
TAO	TAO_Q100	0.2	SOP	9326.79	108.0	144.0	41	459	gaussian(4)
TAO	TAO_Q100	0.2	pMCSKY	8284.32	48.0	51.0	41	459	gaussian(4)
TAO	TAO_Q100	0.2	MDUAL	16.31	3.0	8.0	41	459	gaussian(4)
HPC	HPC_Q100	0.2	SOP	3055.07	83.0	87.0	52	344	gaussian(4)
HPC	HPC_Q100	0.2	pMCSKY	1540.19	22.0	26.0	52	344	gaussian(4)
HPC	HPC_Q100	0.2	MDUAL	89.29	4.0	9.0	52	344	gaussian(4)
FC	FC_Q100	0.2	SOP	10623.35	119.0	125.0	2	4	gaussian(4)
FC	FC_Q100	0.2	pMCSKY	9970.13	63.0	65.0	2	4	gaussian(4)
FC	FC_Q100	0.2	MDUAL	640.77	16.0	20.0	2	4	gaussian(4)
gaussian(4)
STK	STK_Q100	0.2	SOP	5857.87	85.0	102.0	19	224	gaussian(4)
STK	STK_Q100	0.2	pMCSKY	4442.43	30.0	33.0	19	224	gaussian(4)
STK	STK_Q100	0.2	MDUAL	6.78	3.0	7.0	19	224	gaussian(4)
GAS	GAS_Q100	0.2	SOP	20534.78	191.0	196.0	0	0	gaussian(4)
GAS	GAS_Q100	0.2	pMCSKY	20544.32	143.0	145.0	0	0	gaussian(4)
GAS	GAS_Q100	0.2	MDUAL	93.91	5.0	13.0	0	0	gaussian(4)
EM	EM_Q100	0.2	SOP	29558.89	239.0	252.0	0	0	gaussian(4)
EM	EM_Q100	0.2	pMCSKY	28608.59	173.0	173.0	0	0	gaussian(4)
EM	EM_Q100	0.2	MDUAL	2148.23	11.0	13.0	0	0	gaussian(4)
TAO	TAO_Q100	0.2	SOP	9471.38	106.0	134.0	54	897	gaussian(4)
TAO	TAO_Q100	0.2	pMCSKY	8321.97	50.0	53.0	54	897	gaussian(4)
TAO	TAO_Q100	0.2	MDUAL	31.15	3.0	9.0	54	897	gaussian(4)
HPC	HPC_Q100	0.2	SOP	2909.19	82.0	89.0	47	370	gaussian(4)
HPC	HPC_Q100	0.2	pMCSKY	970.69	22.0	25.0	47	370	gaussian(4)
HPC	HPC_Q100	0.2	MDUAL	103.47	4.0	11.0	47	370	gaussian(4)
FC	FC_Q100	0.2	SOP	7824.20	98.0	106.0	12	17	gaussian(4)
FC	FC_Q100	0.2	pMCSKY	6693.46	38.0	39.0	12	17	gaussian(4)
FC	FC_Q100	0.2	MDUAL	609.03	15.0	21.0	12	17	gaussian(4)
gaussian(4)
STK	STK_Q100	0.2	SOP	3791.85	119.0	126.0	9	321	gaussian(8)
STK	STK_Q100	0.2	pMCSKY	579.99	31.0	28.0	9	321	gaussian(8)
STK	STK_Q100	0.2	MDUAL	19.74	3.0	8.0	9	321	gaussian(8)
GAS	GAS_Q100	0.2	SOP	2801.21	104.0	136.0	0	0	gaussian(8)
GAS	GAS_Q100	0.2	pMCSKY	196.63	31.0	19.0	0	0	gaussian(8)
GAS	GAS_Q100	0.2	MDUAL	15.85	4.0	8.0	0	0	gaussian(8)
EM	EM_Q100	0.2	SOP	38142.21	338.0	345.0	8	8	gaussian(8)
EM	EM_Q100	0.2	pMCSKY	31095.43	96.0	102.0	8	8	gaussian(8)
EM	EM_Q100	0.2	MDUAL	3190.23	7.0	10.0	8	8	gaussian(8)
TAO	TAO_Q100	0.2	SOP	4440.47	117.0	134.0	70	1060	gaussian(8)
TAO	TAO_Q100	0.2	pMCSKY	2024.50	36.0	35.0	70	1060	gaussian(8)
TAO	TAO_Q100	0.2	MDUAL	29.61	3.0	10.0	70	1060	gaussian(8)
HPC	HPC_Q100	0.2	SOP	1912.97	98.0	104.0	0	0	gaussian(8)
HPC	HPC_Q100	0.2	pMCSKY	249.08	31.0	32.0	0	0	gaussian(8)
HPC	HPC_Q100	0.2	MDUAL	9.39	4.0	9.0	0	0	gaussian(8)
FC	FC_Q100	0.2	SOP	2463.69	109.0	124.0	0	0	gaussian(8)
FC	FC_Q100	0.2	pMCSKY	583.13	36.0	24.0	0	0	gaussian(8)
FC	FC_Q100	0.2	MDUAL	373.79	14.0	18.0	0	0	gaussian(8)
gaussian(8)
STK	STK_Q100	0.2	SOP	3471.32	119.0	129.0	9	287	gaussian(8)
STK	STK_Q100	0.2	pMCSKY	521.55	30.0	25.0	9	287	gaussian(8)
STK	STK_Q100	0.2	MDUAL	11.64	3.0	8.0	9	287	gaussian(8)
GAS	GAS_Q100	0.2	SOP	2636.90	103.0	144.0	0	0	gaussian(8)
GAS	GAS_Q100	0.2	pMCSKY	187.30	25.0	30.0	0	0	gaussian(8)
GAS	GAS_Q100	0.2	MDUAL	26.74	4.0	7.0	0	0	gaussian(8)
EM	EM_Q100	0.2	SOP	41144.46	376.0	380.0	8	8	gaussian(8)
EM	EM_Q100	0.2	pMCSKY	29321.50	97.0	84.0	8	8	gaussian(8)
EM	EM_Q100	0.2	MDUAL	2436.93	8.0	10.0	8	8	gaussian(8)
TAO	TAO_Q100	0.2	SOP	4812.99	119.0	135.0	97	1282	gaussian(8)
TAO	TAO_Q100	0.2	pMCSKY	2100.73	36.0	32.0	97	1282	gaussian(8)
TAO	TAO_Q100	0.2	MDUAL	52.99	3.0	11.0	97	1282	gaussian(8)
HPC	HPC_Q100	0.2	SOP	1616.20	98.0	105.0	0	0	gaussian(8)
HPC	HPC_Q100	0.2	pMCSKY	228.72	27.0	31.0	0	0	gaussian(8)
HPC	HPC_Q100	0.2	MDUAL	7.39	4.0	10.0	0	0	gaussian(8)
FC	FC_Q100	0.2	SOP	2612.93	111.0	130.0	0	0	gaussian(8)
FC	FC_Q100	0.2	pMCSKY	791.86	36.0	30.0	0	0	gaussian(8)
FC	FC_Q100	0.2	MDUAL	347.18	15.0	18.0	0	0	gaussian(8)
gaussian(8)
STK	STK_Q100	0.2	SOP	3365.24	118.0	122.0	9	294	gaussian(8)
STK	STK_Q100	0.2	pMCSKY	474.77	31.0	25.0	9	294	gaussian(8)
STK	STK_Q100	0.2	MDUAL	13.66	3.0	7.0	9	294	gaussian(8)
GAS	GAS_Q100	0.2	SOP	4265.04	105.0	143.0	0	0	gaussian(8)
GAS	GAS_Q100	0.2	pMCSKY	182.38	31.0	18.0	0	0	gaussian(8)
GAS	GAS_Q100	0.2	MDUAL	33.58	4.0	8.0	0	0	gaussian(8)
EM	EM_Q100	0.2	SOP	38731.82	317.0	325.0	2	2	gaussian(8)
