Dataset	Queryset	ChgQRatio	Method	Time	AvgMem	PeakMem	#Out	#OutQ	paramKey
FC	FC_Q100	0.2	pMCSKY	43669.35	172.0	184.0	344	652	uniform(10)
FC	FC_Q100	0.2	MDUAL	2983.80	21.0	36.0	344	652	uniform(10)
uniform(10)
STK	STK_Q100	0.2	SOP	20859.54	192.0	216.0	193	571	uniform(10)
STK	STK_Q100	0.2	pMCSKY	19818.98	134.0	145.0	193	571	uniform(10)
STK	STK_Q100	0.2	MDUAL	37.87	4.0	16.0	193	571	uniform(10)
FC	FC_Q100	0.2	SOP	44005.00	246.0	273.0	318	582	uniform(10)
FC	FC_Q100	0.2	pMCSKY	42942.80	190.0	202.0	318	582	uniform(10)
FC	FC_Q100	0.2	MDUAL	3897.14	21.0	40.0	318	582	uniform(10)
uniform(10)
EM	EM_Q100	0.2	SOP	61294.42	683.0	687.0	19	19	uniform(10)
EM	EM_Q100	0.2	pMCSKY	62555.39	626.0	628.0	19	19	uniform(10)
EM	EM_Q100	0.2	MDUAL	3532.07	16.0	23.0	19	19	uniform(10)
TAO	TAO_Q100	0.2	SOP	28516.86	250.0	253.0	169	940	uniform(10)
TAO	TAO_Q100	0.2	pMCSKY	28535.96	187.0	189.0	169	940	uniform(10)
TAO	TAO_Q100	0.2	MDUAL	171.28	6.0	12.0	169	940	uniform(10)
uniform(10)
EM	EM_Q100	0.2	SOP	55936.99	618.0	638.0	0	0	uniform(10)
EM	EM_Q100	0.2	pMCSKY	56104.04	561.0	564.0	0	0	uniform(10)
EM	EM_Q100	0.2	MDUAL	2524.18	15.0	22.0	0	0	uniform(10)
TAO	TAO_Q100	0.2	SOP	34103.87	272.0	275.0	117	1195	uniform(10)
TAO	TAO_Q100	0.2	pMCSKY	33786.59	209.0	213.0	117	1195	uniform(10)
TAO	TAO_Q100	0.2	MDUAL	130.61	5.0	15.0	117	1195	uniform(10)
uniform(10)
EM	EM_Q100	0.2	SOP	57100.55	668.0	672.0	568	932	uniform(10)
EM	EM_Q100	0.2	pMCSKY	58009.44	612.0	612.0	568	932	uniform(10)
EM	EM_Q100	0.2	MDUAL	4091.97	16.0	21.0	568	932	uniform(10)
TAO	TAO_Q100	0.2	SOP	29883.99	252.0	256.0	147	1199	uniform(10)
TAO	TAO_Q100	0.2	pMCSKY	29799.81	190.0	192.0	147	1199	uniform(10)
TAO	TAO_Q100	0.2	MDUAL	123.18	5.0	12.0	147	1199	uniform(10)
uniform(10)
EM	EM_Q100	0.2	SOP	60720.68	664.0	675.0	772	1260	uniform(10)
EM	EM_Q100	0.2	pMCSKY	61116.01	603.0	605.0	772	1260	uniform(10)
EM	EM_Q100	0.2	MDUAL	2751.19	17.0	21.0	772	1260	uniform(10)
TAO	TAO_Q100	0.2	SOP	32605.49	262.0	267.0	139	944	uniform(10)
TAO	TAO_Q100	0.2	pMCSKY	32523.25	205.0	206.0	139	944	uniform(10)
TAO	TAO_Q100	0.2	MDUAL	162.27	6.0	11.0	139	944	uniform(10)
uniform(10)
EM	EM_Q100	0.2	SOP	58499.89	671.0	676.0	0	0	uniform(10)
EM	EM_Q100	0.2	pMCSKY	59481.44	615.0	617.0	0	0	uniform(10)
EM	EM_Q100	0.2	MDUAL	3007.63	17.0	22.0	0	0	uniform(10)
TAO	TAO_Q100	0.2	SOP	33817.22	272.0	277.0	145	1105	uniform(10)
TAO	TAO_Q100	0.2	pMCSKY	33431.35	212.0	215.0	145	1105	uniform(10)
TAO	TAO_Q100	0.2	MDUAL	113.13	5.0	10.0	145	1105	uniform(10)
uniform(10)
uniform(10)
TAO	TAO_Q100	0.2	SOP	112459.43	849.0	882.0	306	923	uniform(20)
TAO	TAO_Q100	0.2	pMCSKY	112439.14	737.0	742.0	306	923	uniform(20)
TAO	TAO_Q100	0.2	MDUAL	542.22	16.0	25.0	306	923	uniform(20)
